,fighter_id,fighter,peak_elo,current_elo,fights,win_streak,weight_class,last_fight_date
379,matt_lindland,Matt Lindland,876.0,876.0,12,2,,2005-08-20
380,manuel_torres,Manuel Torres,875.8,875.8,6,2,Lightweight,2025-12-06
381,anthony_pettis,Anthony Pettis,875.8,860.2,20,2,,2020-12-19
382,michael_mcdonald,Michael Mcdonald,875.7,857.6,9,0,,2016-07-13
383,marina_rodriguez,Marina Rodriguez,875.7,828.0,15,0,Women's Strawweight,2025-05-03
384,jerry_bohlander,Jerry Bohlander,875.2,852.7,7,0,,1999-01-08
385,asu_almabayev,Asu Almabayev,875.2,875.2,7,2,Flyweight,2025-11-22
386,daniel_kelly,Daniel Kelly,875.1,832.3,10,0,,2018-05-27
387,miranda_maverick,Miranda Maverick,874.8,863.2,12,0,Women's Flyweight,2025-06-14
388,jonathan_pearce,Jonathan Pearce,874.8,830.4,9,0,Featherweight,2024-10-12
389,martin_buday,Martin Buday,874.8,874.8,8,3,Heavyweight,2025-07-26
390,kevin_vallejos,Kevin Vallejos,874.7,874.7,4,4,Featherweight,2026-03-14
391,krzysztof_jotko,Krzysztof Jotko,874.4,861.1,17,0,Middleweight,2022-10-01
392,youssef_zalal,Youssef Zalal,874.4,864.2,13,0,Featherweight,2026-04-25
393,reinier_de_ridder,Reinier De Ridder,874.0,847.2,6,0,Middleweight,2026-03-07
394,chase_hooper,Chase Hooper,874.0,837.1,13,0,Lightweight,2026-03-28
395,marcus_mcghee,Marcus Mcghee,874.0,861.5,5,0,Bantamweight,2025-07-26
396,kyung_ho_kang,Kyung Ho Kang,873.6,843.1,13,0,Bantamweight,2024-06-22
397,mick_parkin,Mick Parkin,873.5,860.0,5,0,Heavyweight,2025-03-22
398,luana_santos,Luana Santos,873.2,873.2,6,2,Women's Bantamweight,2025-12-13
399,kai_karafrance,Kai Karafrance,873.1,852.1,13,0,Flyweight,2025-06-28
400,thomas_almeida,Thomas Almeida,873.0,812.9,10,0,,2021-03-27
401,jeremiah_wells,Jeremiah Wells,873.0,856.3,7,1,Welterweight,2025-11-01
402,shara_magomedov,Shara Magomedov,872.8,864.8,6,1,Middleweight,2025-07-26
403,jeremy_stephens,Jeremy Stephens,872.6,778.1,35,0,Lightweight,2026-05-09
404,krzysztof_soszynski,Krzysztof Soszynski,872.6,853.8,9,0,,2011-12-10
405,steven_siler,Steven Siler,872.5,824.4,9,0,,2014-07-26
406,navajo_stirling,Navajo Stirling,872.4,872.4,4,4,Light Heavyweight,2026-03-28
407,vinicius_oliveira,Vinicius Oliveira,871.9,856.8,5,0,Bantamweight,2026-02-07
408,iuri_alcantara,Iuri Alcantara,871.8,831.1,17,0,,2018-08-25
409,jussier_formiga,Jussier Formiga,871.7,832.4,16,0,,2020-06-06
410,shawn_jordan,Shawn Jordan,871.6,855.9,10,0,,2015-10-03
411,nick_diaz,Nick Diaz,871.5,835.9,14,0,Middleweight,2021-09-25
412,ryan_spann,Ryan Spann,871.5,855.8,16,2,Heavyweight,2026-04-25
413,james_te_huna,James Te Huna,871.5,806.6,10,0,,2016-03-19
414,shane_burgos,Shane Burgos,871.4,867.6,11,2,Featherweight,2022-07-16
415,aleksei_oleinik,Aleksei Oleinik,871.3,821.6,17,0,Heavyweight,2022-10-01
416,mairon_santos,Mairon Santos,871.2,871.2,4,4,Featherweight,2025-12-06
417,justin_willis,Justin Willis,871.1,856.4,5,0,,2019-03-23
418,norman_parke,Norman Parke,871.1,849.2,9,0,,2016-02-27
419,melquizael_costa,Melquizael Costa,871.1,871.1,9,6,Featherweight,2026-02-21
420,roy_nelson,Roy Nelson,871.0,818.3,19,0,,2017-04-15
421,karine_silva,Karine Silva,870.8,846.5,8,0,Women's Flyweight,2026-04-18
422,chris_padilla,Chris Padilla,870.8,870.2,5,0,Lightweight,2026-04-11
423,alan_belcher,Alan Belcher,870.7,850.1,15,0,,2013-04-27
424,kurt_pellegrino,Kurt Pellegrino,870.7,849.5,12,0,,2011-03-19
425,ross_pearson,Ross Pearson,870.6,792.8,25,0,,2019-03-30
426,sean_sherk,Sean Sherk,870.5,867.1,12,1,,2010-09-25
427,junyong_park,Junyong Park,870.4,856.4,13,0,Middleweight,2025-10-25
428,gerald_harris,Gerald Harris,870.4,849.0,4,0,,2010-11-20
429,jordan_johnson,Jordan Johnson,870.4,870.4,4,4,,2018-09-15
430,alex_caceres,Alex Caceres,870.3,847.1,29,0,Featherweight,2024-05-11
431,joe_solecki,Joe Solecki,870.2,828.6,9,0,Lightweight,2025-01-11
432,edmen_shahbazyan,Edmen Shahbazyan,870.1,866.2,14,3,Middleweight,2025-10-04
433,ludovit_klein,Ludovit Klein,870.0,867.8,12,1,Lightweight,2025-10-25
434,amanda_ribas,Amanda Ribas,870.0,829.2,13,0,Women's Strawweight,2025-07-26
435,cezar_ferreira,Cezar Ferreira,869.9,838.2,15,0,,2019-07-13
436,jacqueline_cavalcanti,Jacqueline Cavalcanti,869.8,869.8,5,5,Women's Bantamweight,2025-11-08
437,abdul_razak_alhassan,Abdul Razak Alhassan,869.8,801.7,13,0,Middleweight,2025-01-11
438,david_onama,David Onama,869.8,854.9,9,0,Featherweight,2025-11-01
439,marco_ruas,Marco Ruas,869.7,849.8,6,0,,1999-07-16
440,bo_nickal,Bo Nickal,869.7,863.4,6,1,Middleweight,2025-11-15
441,vinc_pichel,Vinc Pichel,869.6,828.1,12,0,Lightweight,2025-03-29
442,marcos_rogerio_de_lima,Marcos Rogerio De Lima,869.5,869.5,18,1,Heavyweight,2024-02-17
443,nikita_krylov,Nikita Krylov,869.4,852.4,21,1,Light Heavyweight,2026-01-24
444,alan_patrick,Alan Patrick,869.3,823.8,9,0,Lightweight,2022-05-14
445,ryan_hall,Ryan Hall,869.2,859.8,6,1,Featherweight,2021-12-11
446,king_green,King Green,869.1,860.6,29,3,Lightweight,2026-05-09
447,makwan_amirkhani,Makwan Amirkhani,868.9,806.5,14,0,Featherweight,2023-03-18
448,loma_lookboonmee,Loma Lookboonmee,868.8,851.5,10,0,Women's Strawweight,2025-09-27
449,dennis_siver,Dennis Siver,868.6,844.1,20,1,,2017-06-25
450,alan_jouban,Alan Jouban,868.6,852.2,13,1,,2020-11-21
451,denise_gomes,Denise Gomes,868.6,868.6,8,4,Women's Strawweight,2025-11-08
452,tim_credeur,Tim Credeur,868.5,836.5,5,0,,2011-06-04
453,hermes_franca,Hermes Franca,868.5,840.6,11,0,,2009-09-19
454,enrique_barzola,Enrique Barzola,868.4,844.5,10,0,,2020-03-14
455,ailin_perez,Ailin Perez,868.3,868.3,7,6,Women's Bantamweight,2026-02-28
456,abel_trujillo,Abel Trujillo,868.1,842.1,10,0,,2017-12-16
457,dan_hardy,Dan Hardy,868.1,838.0,10,2,,2012-09-29
458,alexa_grasso,Alexa Grasso,868.1,863.7,15,1,Women's Flyweight,2026-03-28
459,john_moraga,John Moraga,868.1,850.2,14,0,,2018-08-25
460,mike_perry,Mike Perry,868.1,816.0,15,0,,2021-04-10
461,cathal_pendred,Cathal Pendred,868.0,834.8,6,0,,2015-10-24
462,casey_oneill,Casey Oneill,867.8,867.2,8,2,Women's Flyweight,2026-03-28
463,william_gomis,William Gomis,867.8,855.8,7,0,Featherweight,2026-05-09
464,josh_samman,Josh Samman,867.4,831.0,5,0,,2016-07-13
465,cole_miller,Cole Miller,867.4,827.7,19,0,,2016-12-17
466,jon_madsen,Jon Madsen,867.2,845.3,5,0,,2011-03-26
467,zhang_mingyang,Zhang Mingyang,866.8,848.1,4,0,Light Heavyweight,2025-08-23
468,vladimir_matyushenko,Vladimir Matyushenko,866.7,838.1,12,0,,2013-01-26
469,ramazan_emeev,Ramazan Emeev,866.7,836.2,8,0,Welterweight,2022-06-11
470,john_howard,John Howard,866.5,802.8,14,0,,2015-12-10
471,wilson_reis,Wilson Reis,866.3,824.4,13,0,,2019-04-13
472,takeya_mizugaki,Takeya Mizugaki,865.9,808.0,14,0,,2016-12-17
473,uros_medic,Uros Medic,865.9,865.9,10,3,Welterweight,2026-02-21
474,chris_curtis,Chris Curtis,865.9,834.2,11,0,Welterweight,2026-03-14
475,mark_madsen,Mark Madsen,865.6,834.7,6,0,Lightweight,2023-11-11
476,david_loiseau,David Loiseau,865.5,806.3,9,0,,2010-06-12
477,brando_pericic,Brando Pericic,865.5,865.5,3,3,Heavyweight,2026-05-02
478,casey_kenney,Casey Kenney,865.4,847.0,8,0,,2021-08-07
479,brian_ebersole,Brian Ebersole,865.4,829.6,8,0,,2015-06-06
480,patrick_smith,Patrick Smith,865.2,865.2,5,4,,1995-07-14
481,felice_herrig,Felice Herrig,865.1,809.3,10,0,Women's Strawweight,2022-06-04
482,josh_hokit,Josh Hokit,865.1,865.1,3,3,Heavyweight,2026-04-11
483,nordine_taleb,Nordine Taleb,865.0,828.5,12,0,,2019-09-07
484,wilson_gouveia,Wilson Gouveia,864.8,835.7,10,0,,2009-12-12
485,nursulton_ruziboev,Nursulton Ruziboev,864.7,864.7,5,2,Middleweight,2025-05-17
486,muhammad_naimov,Muhammad Naimov,864.7,845.6,7,0,Featherweight,2025-12-06
487,jason_lambert,Jason Lambert,864.6,805.6,8,0,,2008-09-06
488,montana_de_la_rosa,Montana De La Rosa,864.6,827.5,12,1,Women's Flyweight,2024-06-08
489,marlon_moraes,Marlon Moraes,864.4,803.3,11,0,Bantamweight,2022-03-12
490,anthony_rocco_martin,Anthony Rocco Martin,864.4,854.3,15,0,,2020-06-06
491,mike_pyle,Mike Pyle,864.3,794.0,19,0,,2018-03-03
492,johnny_walker,Johnny Walker,864.0,846.5,15,0,Light Heavyweight,2026-04-11
493,constantinos_philippou,Constantinos Philippou,864.0,831.5,10,0,,2015-05-16
494,rony_jason,Rony Jason,863.9,822.7,8,0,,2017-03-11
495,aaron_simpson,Aaron Simpson,863.9,849.7,11,0,,2012-10-05
496,gerald_meerschaert,Gerald Meerschaert,863.9,788.2,26,0,Middleweight,2026-05-02
497,brad_riddell,Brad Riddell,863.9,816.3,7,0,Lightweight,2022-11-12
498,omari_akhmedov,Omari Akhmedov,863.7,855.4,15,0,,2021-07-10
499,rafael_natal,Rafael Natal,863.6,816.1,17,0,,2017-07-22
500,tim_boetsch,Tim Boetsch,863.5,815.3,24,0,,2019-03-09
501,ilir_latifi,Ilir Latifi,863.4,835.8,16,0,Heavyweight,2023-05-20
502,tom_breese,Tom Breese,863.3,846.2,8,0,,2021-01-20
503,davi_ramos,Davi Ramos,863.2,833.6,7,0,,2020-07-18
504,kyle_noke,Kyle Noke,863.2,811.9,12,0,,2016-11-26
505,mickey_gall,Mickey Gall,863.2,796.1,13,0,Welterweight,2024-11-16
506,alexander_hernandez,Alexander Hernandez,863.2,850.7,18,0,Lightweight,2026-04-25
507,stevie_ray,Stevie Ray,863.2,843.2,11,1,,2019-10-26
508,scott_holtzman,Scott Holtzman,863.2,820.9,13,0,Lightweight,2022-12-03
509,brock_lesnar,Brock Lesnar,863.1,825.2,7,0,,2011-12-30
