,date,event,winner,loser,result,upset_prob,elo_winner_before,elo_loser_before
34,2021-12-11,UFC 269: Oliveira vs. Poirier,julianna_pena,amanda_nunes,SUB,0.3911,871.4,986.7
35,2001-05-04,UFC 31: Locked and Loaded,carlos_newton,pat_miletich,SUB,0.3922,808.0,922.1
36,2013-09-04,UFC Fight Night: Teixeira vs Bader,jacare_souza,yushin_okami,TKO,0.3931,821.3,934.5
37,2013-02-23,UFC 157: Rousey vs Carmouche,robbie_lawler,josh_koscheck,TKO,0.3933,818.7,931.7
38,2019-02-23,UFC Fight Night: Blachowicz vs. Santos,ismail_naurdiev,michel_prazeres,UD,0.3946,800.0,911.5
39,2017-11-11,UFC Fight Night: Poirier vs. Pettis,marlon_moraes,john_dodson,SD,0.3954,790.0,900.7
40,2011-10-08,UFC 136: Edgar vs Maynard 3,jose_aldo,kenny_florian,UD,0.3956,821.1,931.5
41,2021-03-06,UFC 259: Blachowicz vs. Adesanya,askar_askarov,joseph_benavidez,UD,0.3959,830.1,940.2
42,2016-05-08,UFC Fight Night: Overeem vs Arlovski,alistair_overeem,andrei_arlovski,TKO,0.3971,831.5,940.4
43,2020-05-16,UFC Fight Night: Overeem vs. Harris,nate_landwehr,darren_elkins,UD,0.3976,775.0,883.3
44,2019-02-09,UFC 234: Adesanya vs. Silva,israel_adesanya,anderson_silva,UD,0.3976,871.1,979.3
45,2006-10-14,UFC 64: Unstoppable,anderson_silva,rich_franklin,TKO,0.3977,826.5,934.7
46,2013-11-16,UFC 167: St-Pierre vs Hendricks,tyron_woodley,josh_koscheck,TKO,0.398,806.6,914.4
47,2010-11-20,UFC 123: Rampage vs Machida,dennis_hallman,karo_parisyan,TKO,0.3982,767.6,875.3
48,2013-10-09,UFC Fight Night: Maia vs Shields,jake_shields,demian_maia,SD,0.3984,813.1,920.5
49,2006-09-23,UFC 63: Hughes vs Penn,joe_lauzon,jens_pulver,TKO,0.3988,800.0,907.0
