No state file found — running full historical bootstrap
Fetching event list from ufcstats.com...
Found 773 events to process
[134/773] UFC 102: Couture vs Nogueira (2009-08-29)  11 fights
[135/773] UFC Fight Night: Diaz vs Guillard (2009-09-16)  10 fights
[136/773] UFC 103: Franklin vs Belfort (2009-09-19)  13 fights
[137/773] UFC 104: Machida vs Shogun (2009-10-24)  11 fights
[138/773] UFC 105: Couture vs Vera (2009-11-14)  11 fights
[139/773] UFC 106: Ortiz vs Griffin 2 (2009-11-21)  10 fights
[140/773] The Ultimate Fighter: Heavyweights Finale (2009-12-05)  10 fights
[141/773] UFC 107: Penn vs Sanchez (2009-12-12)  11 fights
[142/773] UFC 108: Evans vs Silva (2010-01-02)  10 fights
[143/773] UFC Fight Night: Maynard vs Diaz (2010-01-11)  11 fights
[144/773] UFC 109: Relentless (2010-02-06)  11 fights
[145/773] UFC 110: Nogueira vs Velasquez (2010-02-20)  9 fights
[146/773] UFC Live: Vera vs Jones (2010-03-21)  11 fights
[147/773] UFC 111: St-Pierre vs Hardy (2010-03-27)  10 fights
[148/773] UFC Fight Night: Florian vs Gomi (2010-03-31)  11 fights
[149/773] UFC 112: Invincible (2010-04-10)  10 fights
[150/773] UFC 113: Machida vs Shogun 2 (2010-05-08)  11 fights
[151/773] UFC 114: Rampage vs Evans (2010-05-29)  11 fights
[152/773] UFC 115: Liddell vs Franklin (2010-06-12)  11 fights
[153/773] The Ultimate Fighter: Team Liddell vs Team Ortiz Finale (2010-06-19)  10 fights
[154/773] UFC 116: Lesnar vs Carwin (2010-07-03)  11 fights
[155/773] UFC Live: Jones vs Matyushenko (2010-08-01)  10 fights
[156/773] UFC 117: Silva vs Sonnen (2010-08-07)  11 fights
[157/773] UFC 118: Edgar vs Penn 2 (2010-08-28)  10 fights
[158/773] UFC Fight Night: Marquardt vs Palhares (2010-09-15)  10 fights
[159/773] UFC 119: Mir vs Cro Cop (2010-09-25)  11 fights
[160/773] UFC 120: Bisping vs Akiyama (2010-10-16)  10 fights
[161/773] UFC 121: Lesnar vs Velasquez (2010-10-23)  11 fights
[162/773] UFC 122: Marquardt vs Okami (2010-11-13)  10 fights
[163/773] UFC 123: Rampage vs Machida (2010-11-20)  11 fights
[164/773] The Ultimate Fighter: Team GSP vs Team Koscheck Finale (2010-12-04)  11 fights
[165/773] UFC 124: St-Pierre vs Koscheck 2 (2010-12-11)  11 fights
[166/773] UFC 125: Resolution (2011-01-01)  11 fights
[167/773] UFC Fight Night: Fight for the Troops 2 (2011-01-22)  11 fights
[168/773] UFC 126: Silva vs Belfort (2011-02-05)  11 fights
[169/773] UFC 127: Penn vs Fitch (2011-02-26)  12 fights
[170/773] UFC Live: Sanchez vs Kampmann (2011-03-03)  11 fights
[171/773] UFC 128: Shogun vs Jones (2011-03-19)  12 fights
[172/773] UFC Fight Night: Nogueira vs Davis (2011-03-26)  12 fights
[173/773] UFC 129: St-Pierre vs Shields (2011-04-30)  12 fights
[174/773] UFC 130: Rampage vs Hamill (2011-05-28)  10 fights
[175/773] The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale (2011-06-04)  11 fights
[176/773] UFC 131: Dos Santos vs Carwin (2011-06-11)  12 fights
[177/773] UFC Live: Kongo vs Barry (2011-06-26)  11 fights
[178/773] UFC 132: Cruz vs Faber (2011-07-02)  11 fights
[179/773] UFC 133: Evans vs Ortiz 2 (2011-08-06)  11 fights
[180/773] UFC Live: Hardy vs Lytle (2011-08-14)  12 fights
[181/773] UFC 134: Silva vs Okami (2011-08-27)  12 fights
[182/773] UFC Fight Night: Shields vs Ellenberger (2011-09-17)  12 fights
[183/773] UFC 135: Jones vs Rampage (2011-09-24)  10 fights
[184/773] UFC Live: Cruz vs Johnson (2011-10-01)  10 fights
[185/773] UFC 136: Edgar vs Maynard 3 (2011-10-08)  11 fights
[186/773] UFC 137: Penn vs Diaz (2011-10-29)  11 fights
[187/773] UFC 138: Leben vs Munoz (2011-11-05)  10 fights
[188/773] UFC on FOX: Velasquez vs Dos Santos (2011-11-12)  10 fights
[189/773] UFC 139: Shogun vs Henderson (2011-11-19)  12 fights
[190/773] The Ultimate Fighter: Team Bisping vs Team Miller Finale (2011-12-03)  10 fights
[191/773] UFC 140: Jones vs Machida (2011-12-10)  12 fights
[192/773] UFC 141: Lesnar vs Overeem (2011-12-30)  10 fights
[193/773] UFC 142: Aldo vs Mendes (2012-01-14)  10 fights
[194/773] UFC on FX: Guillard vs Miller (2012-01-20)  10 fights
[195/773] UFC on FOX: Evans vs Davis (2012-01-28)  10 fights
[196/773] UFC 143: Diaz vs Condit (2012-02-04)  11 fights
[197/773] UFC on FUEL TV: Sanchez vs Ellenberger (2012-02-15)  9 fights
[198/773] UFC 144: Edgar vs Henderson (2012-02-25)  12 fights
[199/773] UFC on FX: Alves vs Kampmann (2012-03-02)  11 fights
[200/773] UFC on FUEL TV: Gustafsson vs Silva (2012-04-14)  12 fights
[201/773] UFC 145: Jones vs Evans (2012-04-21)  12 fights
[202/773] UFC on FOX: Diaz vs Miller (2012-05-05)  12 fights
[203/773] UFC on FUEL TV: Korean Zombie vs Poirier (2012-05-15)  12 fights
[204/773] UFC 146: Dos Santos vs Mir (2012-05-26)  12 fights
[205/773] The Ultimate Fighter: Live Finale (2012-06-01)  10 fights
[206/773] UFC on FX: Johnson vs McCall (2012-06-08)  12 fights
[207/773] UFC on FX: Maynard vs Guida (2012-06-22)  12 fights
[208/773] UFC 147: Silva vs Franklin 2 (2012-06-23)  11 fights
[209/773] UFC 148: Silva vs Sonnen 2 (2012-07-07)  11 fights
[210/773] UFC on FUEL TV: Munoz vs Weidman (2012-07-11)  11 fights
[211/773] UFC 149: Faber vs Barao (2012-07-21)  11 fights
[212/773] UFC on FOX: Shogun vs Vera (2012-08-04)  10 fights
[213/773] UFC 150: Henderson vs Edgar II (2012-08-11)  10 fights
[214/773] UFC 152: Jones vs Belfort (2012-09-22)  12 fights
[215/773] UFC on FUEL TV: Struve vs Miocic (2012-09-29)  11 fights
[216/773] UFC on FX: Browne vs Bigfoot (2012-10-05)  10 fights
[217/773] UFC 153: Silva vs Bonnar (2012-10-13)  12 fights
[218/773] UFC Macao: Franklin vs Le (2012-11-10)  9 fights
[219/773] UFC 154: St-Pierre vs Condit (2012-11-17)  12 fights
[220/773] UFC on FOX: Henderson vs Diaz (2012-12-08)  11 fights
[221/773] UFC on FX: Sotiropoulos vs Pearson (2012-12-14)  10 fights
[222/773] The Ultimate Fighter: Team Carwin vs. Team Nelson Finale (2012-12-15)  11 fights
[223/773] UFC 155: Dos Santos vs Velasquez II (2012-12-29)  12 fights
[224/773] UFC on FX: Belfort vs Bisping (2013-01-19)  11 fights
[225/773] UFC on FOX: Johnson vs Dodson (2013-01-26)  11 fights
[226/773] UFC 156: Aldo vs Edgar (2013-02-02)  11 fights
[227/773] UFC on FUEL TV: Barao vs McDonald (2013-02-16)  12 fights
[228/773] UFC 157: Rousey vs Carmouche (2013-02-23)  12 fights
[229/773] UFC on FUEL TV: Silva vs. Stann (2013-03-02)  11 fights
[230/773] UFC 158: St-Pierre vs Diaz (2013-03-16)  12 fights
[231/773] UFC on FUEL TV: Mousasi vs Latifi (2013-04-06)  13 fights
[232/773] The Ultimate Fighter: Team Jones vs. Team Sonnen Finale (2013-04-13)  12 fights
[233/773] UFC on FOX: Henderson vs Melendez (2013-04-20)  12 fights
[234/773] UFC 159: Jones vs Sonnen (2013-04-27)  11 fights
[235/773] UFC on FX: Belfort vs. Rockhold (2013-05-18)  13 fights
[236/773] UFC 160: Velasquez vs Silva 2 (2013-05-25)  12 fights
[237/773] UFC on FUEL TV: Nogueira vs. Werdum (2013-06-08)  12 fights
[238/773] UFC 161: Evans vs Henderson (2013-06-15)  11 fights
[239/773] UFC 162: Silva vs Weidman (2013-07-06)  11 fights
[240/773] UFC on FOX: Johnson vs Moraga (2013-07-27)  12 fights
[241/773] UFC 163: Aldo vs Jung (2013-08-03)  12 fights
[242/773] UFC Fight Night: Shogun vs Sonnen (2013-08-17)  13 fights
[243/773] UFC Fight Night: Condit vs Kampmann 2 (2013-08-28)  12 fights
[244/773] UFC 164: Henderson vs Pettis 2 (2013-08-31)  12 fights
[245/773] UFC Fight Night: Teixeira vs Bader (2013-09-04)  11 fights
[246/773] UFC 165: Jones vs Gustafsson (2013-09-21)  13 fights
[247/773] UFC Fight Night: Maia vs Shields (2013-10-09)  10 fights
[248/773] UFC 166: Velasquez vs Dos Santos 3 (2013-10-19)  13 fights
[249/773] UFC Fight Night: Machida vs Munoz (2013-10-26)  12 fights
[250/773] UFC Fight Night: Fight for the Troops 3 (2013-11-06)  13 fights
[251/773] UFC Fight Night: Belfort vs Henderson 2 (2013-11-09)  11 fights
[252/773] UFC 167: St-Pierre vs Hendricks (2013-11-16)  12 fights
[253/773] The Ultimate Fighter: Team Rousey vs. Team Tate Finale (2013-11-30)  10 fights
[254/773] UFC Fight Night: Hunt vs Bigfoot (2013-12-06)  11 fights
[255/773] UFC on FOX: Johnson vs. Benavidez 2 (2013-12-14)  11 fights
[256/773] UFC 168: Weidman vs Silva 2 (2013-12-28)  11 fights
[257/773] UFC Fight Night: Saffiedine vs Lim (2014-01-04)  10 fights
[258/773] UFC Fight Night: Rockhold vs Philippou (2014-01-15)  12 fights
[259/773] UFC on FOX: Henderson vs Thomson (2014-01-25)  11 fights
[260/773] UFC 169: Barao vs Faber 2 (2014-02-01)  12 fights
[261/773] UFC Fight Night: Machida vs Mousasi (2014-02-15)  12 fights
[262/773] UFC 170: Rousey vs McMann (2014-02-22)  11 fights
[263/773] UFC Fight Night: Kim vs Hathaway (2014-03-01)  8 fights
[264/773] UFC Fight Night: Gustafsson vs Manuwa (2014-03-08)  9 fights
[265/773] UFC 171: Hendricks vs Lawler (2014-03-15)  13 fights
[266/773] UFC Fight Night: Shogun vs Henderson 2 (2014-03-23)  11 fights
[267/773] UFC Fight Night: Minotauro vs Nelson (2014-04-11)  8 fights
[268/773] UFC Fight Night: Bisping vs Kennedy (2014-04-16)  13 fights
[269/773] UFC on FOX: Werdum vs Browne (2014-04-19)  13 fights
[270/773] UFC 172: Jones vs Teixeira (2014-04-26)  10 fights
[271/773] UFC Fight Night: Brown vs Silva (2014-05-10)  13 fights
[272/773] UFC 173: Barao vs Dillashaw (2014-05-24)  12 fights
[273/773] UFC Fight Night: Miocic vs Maldonado (2014-05-31)  12 fights
[274/773] UFC Fight Night: Munoz vs Mousasi (2014-05-31)  10 fights
[275/773] UFC Fight Night: Henderson vs Khabilov (2014-06-07)  11 fights
[276/773] UFC 174: Johnson vs Bagautinov (2014-06-14)  11 fights
[277/773] UFC Fight Night: Swanson vs Stephens (2014-06-28)  11 fights
[278/773] UFC Fight Night: Te Huna vs Marquardt (2014-06-28)  10 fights
[279/773] UFC 175: Weidman vs Machida (2014-07-05)  10 fights
[280/773] The Ultimate Fighter: Team Edgar vs. Team Penn Finale (2014-07-06)  11 fights
[281/773] UFC Fight Night: Cowboy vs Miller (2014-07-16)  11 fights
[282/773] UFC Fight Night: McGregor vs Brandao (2014-07-19)  10 fights
[283/773] UFC on FOX: Lawler vs Brown (2014-07-26)  12 fights
[284/773] UFC Fight Night: Bader vs Saint Preux (2014-08-16)  10 fights
[285/773] UFC Fight Night: Henderson vs Dos Anjos (2014-08-23)  11 fights
[286/773] UFC Fight Night: Bisping vs Le (2014-08-23)  10 fights
[287/773] UFC 177: Dillashaw vs Soto (2014-08-30)  8 fights
[288/773] UFC Fight Night: Jacare vs Mousasi (2014-09-05)  9 fights
[289/773] UFC Fight Night: Bigfoot vs Arlovski (2014-09-13)  11 fights
[290/773] UFC Fight Night: Hunt vs Nelson (2014-09-20)  12 fights
[291/773] UFC 178: Johnson vs Cariaso (2014-09-27)  11 fights
[292/773] UFC Fight Night: MacDonald vs Saffiedine (2014-10-04)  12 fights
[293/773] UFC Fight Night: Nelson vs Story (2014-10-04)  11 fights
[294/773] UFC 179: Aldo vs Mendes 2 (2014-10-25)  11 fights
[295/773] UFC Fight Night: Rockhold vs Bisping (2014-11-07)  11 fights
[296/773] UFC Fight Night 56: Shogun vs Saint Preux (2014-11-08)  10 fights
[297/773] UFC 180: Werdum vs Hunt (2014-11-15)  11 fights
[298/773] UFC Fight Night: Edgar vs Swanson (2014-11-22)  12 fights
[299/773] UFC 181: Hendricks vs Lawler II (2014-12-06)  11 fights
[300/773] The Ultimate Fighter: A Champion Will Be Crowned Finale (2014-12-12)  11 fights
[301/773] UFC on FOX: Dos Santos vs Miocic (2014-12-13)  12 fights
[302/773] UFC Fight Night: Machida vs Dollaway (2014-12-20)  12 fights
[303/773] UFC 182: Jones vs Cormier (2015-01-03)  11 fights
[304/773] UFC Fight Night: McGregor vs Siver (2015-01-18)  12 fights
[305/773] UFC on FOX: Gustafsson vs Johnson (2015-01-24)  12 fights
[306/773] UFC 183: Silva vs Diaz (2015-01-31)  11 fights
[307/773] UFC Fight Night: Henderson vs Thatch (2015-02-14)  10 fights
[308/773] UFC Fight Night: Bigfoot vs Mir (2015-02-22)  11 fights
[309/773] UFC 184: Rousey vs Zingano (2015-02-28)  11 fights
[310/773] UFC 185: Pettis vs Dos Anjos (2015-03-14)  12 fights
[311/773] UFC Fight Night: Maia vs LaFlare (2015-03-21)  12 fights
[312/773] UFC Fight Night: Mendes vs Lamas (2015-04-04)  10 fights
[313/773] UFC Fight Night: Gonzaga vs Cro Cop 2 (2015-04-11)  12 fights
[314/773] UFC on FOX: Machida vs Rockhold (2015-04-18)  11 fights
[315/773] UFC 186: Johnson vs Horiguchi (2015-04-25)  12 fights
[316/773] UFC Fight Night: Miocic vs Hunt (2015-05-09)  12 fights
[317/773] UFC Fight Night: Edgar vs Faber (2015-05-16)  12 fights
[318/773] UFC 187: Johnson vs Cormier (2015-05-23)  11 fights
[319/773] UFC Fight Night: Condit vs Alves (2015-05-30)  12 fights
[320/773] UFC Fight Night: Boetsch vs Henderson (2015-06-06)  12 fights
[321/773] UFC 188: Velasquez vs Werdum (2015-06-13)  11 fights
[322/773] UFC Fight Night: Jedrzejczyk vs Penne (2015-06-20)  11 fights
[323/773] UFC Fight Night: Machida vs Romero (2015-06-27)  9 fights
[324/773] UFC 189: Mendes vs McGregor (2015-07-11)  11 fights
[325/773] The Ultimate Fighter: American Top Team vs. Blackzilians Finale (2015-07-12)  11 fights
[326/773] UFC Fight Night: Mir vs Duffee (2015-07-15)  12 fights
[327/773] UFC Fight Night: Bisping vs Leites (2015-07-18)  12 fights
[328/773] UFC on FOX: Dillashaw vs. Barao II (2015-07-25)  12 fights
[329/773] UFC 190: Rousey vs Correia (2015-08-01)  13 fights
[330/773] UFC Fight Night: Teixeira vs Saint Preux (2015-08-08)  13 fights
[331/773] UFC Fight Night: Holloway vs Oliveira (2015-08-23)  12 fights
[332/773] UFC 191: Johnson vs Dodson 2 (2015-09-05)  11 fights
[333/773] UFC Fight Night: Barnett vs Nelson (2015-09-26)  10 fights
